FULL PER-BAND NOISE-FLOOR TABLE
Fs = 5000.00 Hz  carrier = 930.500 Hz  Nyquist = 2500.0 Hz
record = 150000 samples (30.0 s)  Welch NFFT = 8192  bin = 0.610 Hz
candidate carrier-free bands = 106  (guard ±3.0 Hz from every comb line)
'clean' = no bin > band-median + 6.0 dB;  bw_ratio = density spread across halfwidths [2, 5, 10, 20]

========================================================================
A2V-16_1
========================================================================
 center Hz   density mV^2/Hz  worst dB  bw_ratio   clean
    1331.2         6.595e-04       1.4      1.03     yes
     633.8         6.598e-04       1.5      1.02     yes
    1278.0         6.627e-04       3.3      1.01     yes
    2383.2         6.644e-04       8.3      1.08     NO*
     919.0         6.674e-04      17.7      1.03     NO*
    2174.0         6.680e-04       2.5      1.04     yes
    1140.8         6.698e-04       0.8      1.00     yes
    2421.0         6.700e-04       1.3      1.03     yes
    2028.8         6.719e-04       1.7      1.06     yes
     242.8         6.732e-04       1.6      1.00     yes
    1258.2         6.739e-04       1.2      1.05     yes
     608.8         6.752e-04       1.3      1.01     yes
     527.0         6.818e-04       1.4      1.07     yes
     874.5         6.828e-04       1.5      1.00     yes
    1031.0         6.833e-04       6.7      1.11     NO*
    2332.0         6.840e-04       1.1      1.02     yes
    2489.2         6.854e-04       1.2      1.08     yes
     360.2         6.857e-04       1.2      1.03     yes
     336.0         6.861e-04       1.7      1.04     yes
     672.0         6.868e-04      11.1      1.03     NO*
    1884.0         6.874e-04       1.5      1.01     yes
    1944.2         6.890e-04       1.1      1.00     yes
     718.0         6.927e-04       2.4      1.07     yes
    2310.2         6.957e-04       1.1      1.00     yes
    2467.0         6.957e-04       9.6      1.14     NO*
     583.0         6.973e-04       4.3      1.06     yes
    1367.0         6.979e-04       1.5      1.08     yes
     290.8         7.058e-04       1.1      1.08     yes
     135.0         7.072e-04       1.2      1.03     yes
    1188.8         7.073e-04       1.2      1.08     yes
    1389.2         7.074e-04       1.4      1.09     yes
     194.8         7.115e-04       0.9      1.00     yes
    2062.0         7.120e-04       3.0      1.02     yes
     892.2         7.126e-04       0.6      1.00     yes
    1166.0         7.177e-04       1.0      1.01     yes
    1294.8         7.267e-04       1.0      1.00     yes
     784.0         7.339e-04       1.0      1.05     yes
    1919.2         7.446e-04       3.0      1.10     yes
    2156.2         7.549e-04       1.5      1.00     yes
     382.0         7.558e-04       1.0      1.07     yes
     830.0         7.645e-04       7.4      1.09     NO*
    1955.8         7.709e-04       0.7      1.00     yes
    1791.8         7.714e-04       1.3      1.01     yes
     691.8         8.059e-04       3.9      1.05     yes
    1413.0         8.164e-04       0.8      1.08     yes
     940.2         8.264e-04      17.6      1.04     NO*
      88.8         8.325e-04       1.5      1.00     yes
     224.0         8.454e-04       1.7      1.09     yes
     112.0         8.528e-04       1.6      1.18     yes
    1838.0         8.532e-04       1.2      1.08     yes
    1973.0         8.602e-04       1.2      1.03     yes
     206.2         8.854e-04       0.8      1.00     yes
    1772.0         9.023e-04       1.4      1.08     yes
      63.8         9.398e-04      16.4      1.20     NO*
    1755.2         9.491e-04       0.5      1.00     yes
    1436.0         9.615e-04       2.7      1.05     yes
    1569.5         9.878e-04       2.5      1.02     yes
    1543.2         9.938e-04       1.2      1.00     yes
    1637.0         9.993e-04       1.7      1.01     yes
      42.2         1.107e-03       1.8      1.00     yes
    1813.2         1.118e-03       1.1      1.18     yes
    1660.8         1.119e-03       2.0      1.21     yes
    1743.8         1.131e-03       1.1      1.00     yes
    1589.8         1.239e-03       1.1      1.05     yes
    1614.0         1.307e-03       2.0      1.18     yes
    1726.0         1.557e-03       1.7      1.01     yes
    1681.5         1.827e-03       1.6      1.00     yes
    1525.0         1.872e-03       1.9      1.12     yes
    1707.2         1.879e-03       1.4      1.00     yes
      27.2         2.060e-03       1.5      1.00     yes
    1458.8         3.340e-03       2.2      1.01     yes
    1506.8         4.175e-03       0.9      1.00     yes
    1479.0         5.666e-03       1.7      1.02     yes
    1861.2         1.106e-02      25.1     25.99     NO*
  consensus floor = 6.882e-04 mV^2/Hz over 96 clean bands  ->  Var(n) = 0.0028 mV^2  (RMS 52.5 uV)
  carrier a = 148.253 mV  ->  SNR = 66.0 dB in the 4 Hz demod band

========================================================================
A2V-16_4
========================================================================
 center Hz   density mV^2/Hz  worst dB  bw_ratio   clean
     672.0         6.556e-04       8.5      1.17     NO*
     965.0         6.569e-04       2.8      1.17     yes
    2220.0         6.634e-04       1.0      1.01     yes
