BPW34_2,Inano_1,Inano_2
-0.018970246223541654,0.05569779054756013,0.11308556217333665
-0.018358067159485264,0.05609635582641867,0.10828326756788492
-0.017835299235029828,0.05621184100651466,0.1029142198456352
-0.017408896337016255,0.056015193129790974,0.09693937368615765
-0.017084923687978842,0.05548119677639582,0.09032439420270219
-0.01686811110842118,0.05459072227122663,0.08304202567970928
-0.016761409958314405,0.053332867333018175,0.07507456805848686
-0.016765667809308826,0.051706723111338976,0.06641590181895302
-0.01687948845556092,0.049722289076010395,0.057072648576128565
-0.017099266609830577,0.04740046275181095,0.04706457221843263
-0.01741946409585793,0.0447719505866877,0.036423692151584974
-0.017833006153111508,0.041875261438640454,0.025192640269932592
-0.01833176835707731,0.03875422128702524,0.013422427158544775
-0.018907080178308472,0.0354551864212968,0.0011697915915948598
-0.01955013457775215,0.03202453566351404,-0.011505031041797037
-0.02025234953991281,0.02850654766460134,-0.024540414224389906
-0.02100559004671776,0.024941800516817103,-0.037874707776989924
-0.021802312101749433,0.02136625986326371,-0.05144686435269105
-0.022635642733924627,0.017810735535828376,-0.06519655426340921
-0.02349936838866537,0.014300877777871257,-0.07906302556077473
-0.024387935886478557,0.010857408316345907,-0.09298318470172
-0.025296386861453607,0.0074965126115461855,-0.10688777453783542
-0.02622030755065785,0.004230444114880605,-0.12069469996765042
-0.027155778595440244,0.0010680123447505963,-0.13429756648105023
-0.028099294604127606,-0.001984797762600965,-0.14754441494471918
-0.029047738821833174,-0.004924326887672248,-0.16020043426023037
-0.02999830895890121,-0.007748801880894968,-0.17188761398790092
-0.030948488447030825,-0.010457869906629197,-0.18202619899372055
-0.03189601113914506,-0.013052333149580708,-0.1899176321784867
-0.03283881065874386,-0.015533798648287356,-0.1951611490758087
-0.03377502178832187,-0.017904480035342063,-0.19804394335838488
-0.03470292546155054,-0.020167019304305894,-0.19926775274105066
-0.035620951793132516,-0.022324293763574338,-0.19946521139222567
-0.03652765449301551,-0.024379368071099083,-0.19904950508155733
-0.0374216855937366,-0.02633534019030545,-0.19826360112952923
-0.03830180846616282,-0.02819531922793686,-0.1972487917120364
-0.03916685247432761,-0.02996236684700801,-0.1960888609226294
-0.040015735214396886,-0.03163943594878377,-0.19483518475719847
-0.040847434042595554,-0.03322939828612864,-0.1935201321219171
-0.041660979979316226,-0.03473496829702172,-0.19216460259498347
-0.042455469203745544,-0.0361587430810395,-0.19078244807922576
-0.04323002453363284,-0.037503173629235,-0.18938278783684714
-0.04398382785641397,-0.03877055679806107,-0.18797181118637513
-0.04471608420985518,-0.03996307128604287,-0.1865535393453519
-0.045426032921384196,-0.04108273200996404,-0.18513055332959388
-0.04611294988539122,-0.042131443749024,-0.18370444394644453
-0.0467761186076619,-0.04311097405790448,-0.18227593023340777
-0.04741486591888727,-0.04402296889217816,-0.1808452895970731
-0.04802851996423474,-0.044868976195709565,-0.1794122545167826
-0.04861643739158006,-0.04565041834449468,-0.17797628145073474
