NOISE FLOOR (additive electronics/pickup floor), measured in verified carrier-free bands
Fs = 5000.00 Hz  carrier = 930.500 Hz  Nyquist = 2500.0 Hz
record = 150000 samples (30.0 s)  Welch NFFT = 8192  bin = 0.610 Hz
candidate carrier-free bands = 106  (guard ±3.0 Hz from every comb line)
'clean' = no bin > band-median + 6.0 dB;  bw_ratio = density spread across halfwidths [2, 5, 10, 20]

========================================================================
BPW34_1
========================================================================
 center Hz   density mV^2/Hz  worst dB  bw_ratio   clean
     986.5         1.863e-03       9.5      3.85     NO*
      63.8         2.442e-03       1.5      1.06     yes
      88.8         2.750e-03       1.5      1.21     yes
  consensus floor: density = 7.464e-04 mV^2/Hz (spread 5.92e-04–2.75e-03 over 101 clean bands)
  -> additive floor over the 4 Hz demod band: Var(n) ≈ 0.0030 mV^2  (RMS 0.0546 mV)
  WARNING: clean-band densities disagree > 3x -> a band is still contaminated or the floor isn't white.

========================================================================
Inano_1
========================================================================
 center Hz   density mV^2/Hz  worst dB  bw_ratio   clean
    2489.2         1.169e-03       1.7      1.05     yes
    2156.2         1.291e-03       1.7      1.00     yes
    2441.2         1.299e-03       0.7      1.08     yes
    2467.0         1.315e-03       1.0      1.01     yes
    2286.0         1.353e-03       1.3      1.03     yes
    1992.2         1.358e-03      11.8      1.00     NO*
    1973.0         1.370e-03       1.7      1.06     yes
    2332.0         1.375e-03       1.8      1.01     yes
    2220.0         1.378e-03       1.8      1.25     yes
    2310.2         1.394e-03       0.9      1.02     yes
    2131.0         1.397e-03       1.6      1.04     yes
    2358.2         1.410e-03       1.0      1.08     yes
    1791.8         1.414e-03       1.3      1.01     yes
    2264.5         1.432e-03       1.6      1.01     yes
    2421.0         1.432e-03       1.2      1.08     yes
    2383.2         1.433e-03       1.7      1.01     yes
      42.2         1.451e-03       0.9      1.00     yes
    1919.2         1.460e-03       1.5      1.02     yes
    2192.8         1.465e-03       1.3      1.00     yes
    1637.0         1.470e-03       0.8      1.04     yes
      27.2         1.485e-03       1.2      1.00     yes
    1813.2         1.493e-03       1.3      1.13     yes
    1884.0         1.499e-03       1.1      1.01     yes
    1589.8         1.504e-03       1.3      1.04     yes
    2174.0         1.508e-03       0.9      1.08     yes
    2028.8         1.514e-03       1.3      1.01     yes
    1838.0         1.515e-03       1.4      1.12     yes
      88.8         1.523e-03       1.0      1.11     yes
    2240.8         1.527e-03       1.2      1.12     yes
    1569.5         1.531e-03       2.4      1.13     yes
    1681.5         1.535e-03       1.1      1.02     yes
    1944.2         1.536e-03       0.7      1.00     yes
    1755.2         1.541e-03       0.6      1.00     yes
    2062.0         1.560e-03       1.5      1.05     yes
    2109.8         1.571e-03       1.3      1.02     yes
    1726.0         1.582e-03       1.8      1.28     yes
      63.8         1.591e-03       1.6      1.07     yes
    2085.0         1.597e-03       1.2      1.01     yes
    1743.8         1.601e-03       0.6      1.00     yes
    1955.8         1.616e-03       0.9      1.00     yes
    1772.0         1.625e-03       0.9      1.13     yes
    1660.8         1.628e-03       1.1      1.04     yes
    1614.0         1.649e-03       0.7      1.01     yes
    1389.2         1.677e-03       1.4      1.00     yes
    1543.2         1.693e-03       1.1      1.00     yes
    1525.0         1.693e-03       2.1      1.01     yes
    1707.2         1.704e-03       1.7      1.00     yes
    1861.2         1.714e-03       2.1      1.02     yes
    1413.0         1.779e-03       1.6      1.22     yes
    1506.8         1.799e-03       1.3      1.00     yes
    1458.8         1.826e-03       0.9      1.11     yes
    1479.0         1.842e-03       1.4      1.08     yes
    1331.2         1.880e-03       1.8      1.02     yes
     112.0         1.938e-03       1.1      1.03     yes
    1436.0         1.948e-03       1.3      1.02     yes
    1367.0         2.018e-03       1.1      1.07     yes
    1278.0         2.048e-03       2.0      1.00     yes
     135.0         2.068e-03       1.3      1.01     yes
    1306.2         2.105e-03       2.8      1.00     yes
    1222.0         2.109e-03       1.9      1.07     yes
    1258.2         2.176e-03       1.0      1.03     yes
    1294.8         2.234e-03       1.0      1.00     yes
    1188.8         2.252e-03       1.7      1.01     yes
    1140.8         2.319e-03       1.2      1.12     yes
     179.5         2.395e-03       1.1      1.00     yes
     194.8         2.425e-03       0.9      1.00     yes
     206.2         2.463e-03       1.2      1.00     yes
     159.8         2.508e-03       1.1      1.02     yes
    1166.0         2.523e-03       2.6      1.08     yes
    1115.8         2.584e-03       1.2      1.13     yes
    1031.0         2.717e-03       1.6      1.05     yes
    1094.2         2.736e-03       0.8      1.00     yes
    1057.8         2.872e-03       1.3      1.00     yes
    1077.0         2.992e-03       1.5      1.01     yes
     224.0         3.196e-03       0.7      1.00     yes
     242.8         3.353e-03       0.8      1.00     yes
     986.5         3.668e-03       1.1      1.08     yes
     290.8         3.776e-03       2.2      1.10     yes
     965.0         3.803e-03       1.2      1.09     yes
    1009.8         3.969e-03       1.9      1.06     yes
     270.0         4.048e-03       2.0      1.07     yes
     313.0         4.203e-03       1.8      1.11     yes
     940.2         4.369e-03       1.2      1.01     yes
     892.2         4.451e-03       1.1      1.00     yes
     919.0         4.580e-03       1.0      1.07     yes
     874.5         4.732e-03       1.3      1.04     yes
     336.0         5.368e-03       1.5      1.05     yes
     857.2         5.646e-03       1.3      1.00     yes
     360.2         5.768e-03       1.3      1.02     yes
     830.0         5.982e-03       1.4      1.02     yes
     382.0         6.525e-03       1.8      1.05     yes
     784.0         7.731e-03       2.2      1.02     yes
     809.2         8.463e-03       0.9      1.00     yes
     761.2         1.016e-02       2.1      1.07     yes
     739.8         1.149e-02       2.5      1.01     yes
     718.0         1.468e-02       1.5      1.03     yes
     471.0         1.648e-02       1.7      1.01     yes
     691.8         1.818e-02       1.3      1.03     yes
     672.0         2.029e-02       2.0      1.04     yes
     491.2         2.081e-02       1.5      1.12     yes
     655.2         2.415e-02       1.5      1.00     yes
     633.8         2.719e-02       2.0      1.14     yes
     527.0         3.179e-02       2.1      1.12     yes
     608.8         3.476e-02       0.9      1.00     yes
     560.8         4.164e-02       0.9      1.00     yes
     583.0         4.512e-02       1.6      1.11     yes
  consensus floor: density = 1.938e-03 mV^2/Hz (spread 1.17e-03–4.51e-02 over 105 clean bands)
  -> additive floor over the 4 Hz demod band: Var(n) ≈ 0.0078 mV^2  (RMS 0.0880 mV)
  WARNING: clean-band densities disagree > 3x -> a band is still contaminated or the floor isn't white.

========================================================================
Inano_2
========================================================================
 center Hz   density mV^2/Hz  worst dB  bw_ratio   clean
    1367.0         5.222e-04       1.0      1.13     yes
    1681.5         5.345e-04       1.7      1.04     yes
    2332.0         5.360e-04       1.6      1.35     yes
    1944.2         5.427e-04       2.2      1.00     yes
    2264.5         5.493e-04       1.6      1.07     yes
    2109.8         5.625e-04       1.5      1.06     yes
    1772.0         5.627e-04       5.8      1.00     yes
    1389.2         5.634e-04       0.9      1.09     yes
    1458.8         5.641e-04       4.0      1.05     yes
     965.0         5.659e-04       1.9      1.02     yes
    2131.0         5.671e-04       1.6      1.00     yes
     892.2         5.694e-04       1.0      1.00     yes
    1637.0         5.716e-04       2.3      1.02     yes
    2441.2         5.727e-04       1.2      1.04     yes
    2174.0         5.773e-04       6.2      1.18     NO*
     761.2         5.774e-04       3.0      1.04     yes
    1331.2         5.776e-04       5.3      1.17     yes
    1506.8         5.788e-04       1.6      1.00     yes
    1436.0         5.858e-04       1.9      1.04     yes
     940.2         5.860e-04       4.6      1.01     yes
    1057.8         5.884e-04       0.5      1.00     yes
    2489.2         5.892e-04       1.4      1.08     yes
    1726.0         5.947e-04       5.2      1.04     yes
    2085.0         5.951e-04       6.0      1.00     yes
    1743.8         5.954e-04       1.2      1.00     yes
    1094.2         5.989e-04       1.0      1.00     yes
    1166.0         6.004e-04       1.4      1.04     yes
    1955.8         6.011e-04       0.9      1.00     yes
    1838.0         6.032e-04       2.9      1.05     yes
     830.0         6.039e-04       1.5      1.07     yes
     739.8         6.054e-04       1.5      1.02     yes
    1589.8         6.079e-04       1.3      1.04     yes
    2220.0         6.082e-04       6.7      1.02     NO*
     874.5         6.118e-04       1.3      1.05     yes
    2467.0         6.141e-04       1.3      1.06     yes
    2383.2         6.161e-04       5.5      1.13     yes
    1258.2         6.170e-04       2.7      1.03     yes
    2156.2         6.185e-04       3.5      1.00     yes
    1140.8         6.204e-04       2.2      1.07     yes
    1413.0         6.222e-04       2.5      1.05     yes
    1115.8         6.242e-04       3.1      1.07     yes
     655.2         6.260e-04       3.9      1.00     yes
    1813.2         6.278e-04       1.3      1.05     yes
    1660.8         6.300e-04       1.1      1.01     yes
    2062.0         6.301e-04       3.6      1.10     yes
    1294.8         6.304e-04       1.4      1.00     yes
    1543.2         6.307e-04       2.2      1.00     yes
    1222.0         6.372e-04       3.9      1.01     yes
    1884.0         6.389e-04       2.0      1.00     yes
    1569.5         6.422e-04       1.8      1.03     yes
    1306.2         6.439e-04       0.9      1.00     yes
    1188.8         6.448e-04       1.3      1.02     yes
     857.2         6.455e-04       0.5      1.00     yes
    1707.2         6.482e-04       1.0      1.00     yes
    1525.0         6.484e-04       4.0      1.06     yes
    1973.0         6.485e-04       6.5      1.01     NO*
    2286.0         6.512e-04       5.3      1.04     yes
    1755.2         6.524e-04       0.9      1.00     yes
    1919.2         6.586e-04       5.0      1.01     yes
     784.0         6.589e-04       2.5      1.10     yes
    2192.8         6.599e-04       1.5      1.00     yes
    1791.8         6.638e-04       1.9      1.07     yes
    2028.8         6.689e-04       6.4      1.21     NO*
    2240.8         6.700e-04       2.4      1.18     yes
     672.0         6.769e-04       4.5      1.00     yes
    2421.0         6.848e-04       3.2      1.05     yes
    1278.0         6.987e-04       5.0      1.02     yes
    2358.2         6.987e-04       1.5      1.22     yes
     718.0         7.052e-04       2.0      1.34     yes
     491.2         7.114e-04       1.4      1.09     yes
    1031.0         7.188e-04       2.7      1.02     yes
     691.8         7.213e-04       2.8      1.13     yes
     633.8         7.250e-04       4.0      1.06     yes
    1992.2         7.282e-04      18.4      1.00     NO*
    1479.0         7.346e-04       6.3      1.05     NO*
    1861.2         7.347e-04       8.1      1.46     NO*
     583.0         7.412e-04       2.8      1.14     yes
      27.2         7.413e-04       1.0      1.00     yes
     809.2         7.423e-04       2.4      1.11     yes
     313.0         7.530e-04       1.7      1.07     yes
     608.8         7.598e-04       0.8      1.09     yes
     919.0         7.683e-04       4.2      1.15     yes
     471.0         7.730e-04       1.4      1.08     yes
    2310.2         7.780e-04       1.3      1.03     yes
     270.0         7.815e-04       3.1      1.10     yes
     242.8         7.837e-04       1.1      1.00     yes
     527.0         7.871e-04       3.5      1.01     yes
    1077.0         8.069e-04       2.4      1.08     yes
    1614.0         8.713e-04       2.5      1.15     yes
     360.2         8.713e-04       1.2      1.22     yes
     206.2         8.984e-04       1.0      1.00     yes
     560.8         9.068e-04       1.0      1.00     yes
     336.0         9.092e-04       1.4      1.15     yes
     224.0         9.660e-04       1.6      1.00     yes
     290.8         9.662e-04       1.4      1.20     yes
     135.0         9.747e-04       1.7      1.15     yes
     159.8         9.834e-04       1.6      1.06     yes
     382.0         9.944e-04       1.4      1.11     yes
     179.5         1.186e-03       4.1      1.03     yes
     194.8         1.205e-03       0.3      1.00     yes
     112.0         1.234e-03       1.7      1.00     yes
    1009.8         1.395e-03      15.1      2.49     NO*
      42.2         1.575e-03       1.5      1.00     yes
     986.5         1.881e-03       9.8      4.39     NO*
      88.8         2.131e-03       1.8      1.05     yes
      63.8         2.344e-03       1.4      1.06     yes
  consensus floor: density = 6.439e-04 mV^2/Hz (spread 5.22e-04–2.34e-03 over 97 clean bands)
  -> additive floor over the 4 Hz demod band: Var(n) ≈ 0.0026 mV^2  (RMS 0.0508 mV)
  WARNING: clean-band densities disagree > 3x -> a band is still contaminated or the floor isn't white.
