FULL PER-BAND NOISE-FLOOR TABLE
Fs = 5000.00 Hz  carrier = 930.500 Hz  Nyquist = 2500.0 Hz
record = 150000 samples (30.0 s)  Welch NFFT = 8192  bin = 0.610 Hz
candidate carrier-free bands = 106  (guard ±3.0 Hz from every comb line)
'clean' = no bin > band-median + 6.0 dB;  bw_ratio = density spread across halfwidths [2, 5, 10, 20]

========================================================================
BPW34_1
========================================================================
 center Hz   density mV^2/Hz  worst dB  bw_ratio   clean
     739.8         4.690e-04       2.0      1.06     yes
     471.0         4.733e-04       9.0      1.07     NO*
    1077.0         4.817e-04       7.4      1.09     NO*
     608.8         4.835e-04       2.1      1.03     yes
    2220.0         4.841e-04       1.4      1.00     yes
    2156.2         4.848e-04       1.0      1.00     yes
     892.2         4.897e-04       2.1      1.00     yes
    1589.8         4.931e-04       2.6      1.27     yes
     491.2         4.970e-04       1.1      1.01     yes
     382.0         5.016e-04       1.2      1.23     yes
    1479.0         5.048e-04       2.0      1.09     yes
     242.8         5.091e-04      26.5      1.00     NO*
    1331.2         5.126e-04       6.6      1.15     NO*
    1413.0         5.164e-04       1.6      1.11     yes
    1436.0         5.198e-04       1.3      1.06     yes
    2085.0         5.265e-04       1.4      1.00     yes
     270.0         5.277e-04       1.6      1.03     yes
     135.0         5.344e-04       1.5      1.00     yes
    1743.8         5.366e-04       0.9      1.00     yes
     691.8         5.367e-04       5.6      1.13     yes
     224.0         5.370e-04       2.3      1.07     yes
    1637.0         5.401e-04       1.3      1.07     yes
    1614.0         5.443e-04       4.3      1.03     yes
    1389.2         5.455e-04       1.6      1.00     yes
    1525.0         5.610e-04       3.4      1.01     yes
    2062.0         5.681e-04       4.4      1.08     yes
    1681.5         5.715e-04       4.5      1.01     yes
    1726.0         5.787e-04       1.7      1.01     yes
    1306.2         5.805e-04       1.2      1.00     yes
     159.8         6.084e-04       1.4      1.02     yes
     313.0         6.114e-04       1.2      1.00     yes
     206.2         6.482e-04       0.7      1.00     yes
     194.8         6.558e-04       0.9      1.00     yes
    1506.8         6.626e-04       1.2      1.00     yes
     112.0         6.811e-04      50.2      1.13     NO*
    1884.0         7.058e-04       1.7      1.22     yes
     290.8         7.215e-04       1.3      1.01     yes
      88.8         7.445e-04       2.0      1.10     yes
    1294.8         7.446e-04       0.5      1.00     yes
    1838.0         9.148e-04       2.2      1.06     yes
     919.0         9.209e-04      20.2      1.00     NO*
    2109.8         1.056e-03       4.2      1.35     yes
     360.2         1.060e-03      25.0      3.46     NO*
    1755.2         1.150e-03       1.1      1.00     yes
      42.2         1.154e-03       6.0      1.00     NO*
    1955.8         1.181e-03       1.2      1.00     yes
    1944.2         1.205e-03       1.1      1.00     yes
    2131.0         1.268e-03       1.7      1.00     yes
    2028.8         1.275e-03       5.9      1.00     yes
     940.2         1.397e-03      19.0      1.02     NO*
    1919.2         1.534e-03       3.1      1.12     yes
      27.2         2.086e-03       3.1      1.00     yes
      63.8         2.468e-03      59.0      1.60     NO*
    1973.0         2.721e-03       3.6      1.08     yes
     179.5         3.059e-03      38.2      7.57     NO*
    1772.0         4.038e-03       3.5      1.02     yes
    1813.2         4.327e-03       3.5      1.00     yes
