FULL PER-BAND NOISE-FLOOR TABLE
Fs = 5000.00 Hz  carrier = 930.000 Hz  Nyquist = 2500.0 Hz
record = 150000 samples (30.0 s)  Welch NFFT = 8192  bin = 0.610 Hz
candidate carrier-free bands = 126  (guard ±3.0 Hz from every comb line)
'clean' = no bin > band-median + 6.0 dB;  bw_ratio = density spread across halfwidths [2, 5, 10, 20]

========================================================================
A2V-16_A2
========================================================================
 center Hz   density mV^2/Hz  worst dB  bw_ratio   clean
    1330.0         1.003e-02       4.2      1.22     yes
     705.0         1.006e-02       1.0      1.00     yes
     120.0         1.008e-02       4.1      1.15     yes
     560.0         1.008e-02       2.1      1.09     yes
    1505.0         1.009e-02       0.9      1.00     yes
    1080.0         1.011e-02       3.7      1.05     yes
     720.0         1.013e-02       2.3      1.14     yes
     530.0         1.015e-02       4.0      1.10     yes
     480.0         1.016e-02       2.3      1.04     yes
     680.0         1.018e-02       3.6      1.32     yes
     495.0         1.019e-02       0.5      1.00     yes
      95.0         1.020e-02       0.5      1.00     yes
    1020.0         1.026e-02       3.2      1.01     yes
     920.0         1.032e-02       9.3      1.05     NO*
     870.0         1.034e-02       3.5      1.15     yes
    1420.0         1.035e-02       1.8      1.01     yes
    2485.0         1.047e-02       4.4      1.12     yes
     105.0         1.051e-02       0.9      1.00     yes
    2295.0         1.052e-02       3.6      1.00     yes
     205.0         1.052e-02       0.5      1.00     yes
    1740.0         1.052e-02       3.8      1.34     yes
     240.0         1.055e-02       3.1      1.09     yes
    2270.0         1.061e-02       2.7      1.25     yes
    1160.0         1.069e-02       4.3      1.16     yes
    1095.0         1.071e-02       0.9      1.00     yes
    2140.0         1.072e-02       2.8      1.06     yes
    1225.0         1.076e-02       4.9      1.19     yes
    1925.0         1.078e-02       4.1      1.22     yes
    1115.0         1.081e-02       3.4      1.08     yes
     395.0         1.085e-02       2.0      1.00     yes
     820.0         1.086e-02       2.3      1.19     yes
    1815.0         1.091e-02       3.1      1.05     yes
     505.0         1.094e-02       4.2      1.00     yes
    2440.0         1.095e-02       6.9      1.25     NO*
    2385.0         1.097e-02       3.0      1.07     yes
    2205.0         1.100e-02       1.2      1.00     yes
      60.0         1.103e-02       6.0      1.19     NO*
    1570.0         1.108e-02       2.7      1.08     yes
    1685.0         1.123e-02       4.1      1.19     yes
    1895.0         1.123e-02       0.7      1.00     yes
     170.0         1.128e-02       2.9      1.40     yes
     195.0         1.138e-02       3.3      1.00     yes
     940.0         1.139e-02      10.7      1.01     NO*
    1005.0         1.139e-02       1.2      1.00     yes
     985.0         1.139e-02       4.3      1.27     yes
    2195.0         1.146e-02       0.4      1.00     yes
    1280.0         1.152e-02      13.9      1.23     NO*
     380.0         1.207e-02       6.3      1.09     NO*
     305.0         1.220e-02       1.0      1.00     yes
    2005.0         1.289e-02       1.3      1.00     yes
    1860.0         3.190e-02      20.4      4.22     NO*
  consensus floor = 9.784e-03 mV^2/Hz over 117 clean bands  ->  Var(n) = 0.0391 mV^2  (RMS 197.8 uV)
  carrier a = 304.539 mV  ->  SNR = 60.7 dB in the 4 Hz demod band

========================================================================
A2V-16_A5
========================================================================
 center Hz   density mV^2/Hz  worst dB  bw_ratio   clean
    2105.0         9.230e-03       2.4      1.00     yes
    1440.0         9.427e-03       4.6      1.16     yes
    1605.0         9.516e-03       0.4      1.00     yes
    2205.0         9.740e-03       1.3      1.00     yes
      40.0         9.845e-03       5.1      1.26     yes
    2295.0         9.924e-03       5.3      1.00     yes
    2080.0         1.007e-02       2.0      1.03     yes
    2160.0         1.017e-02       4.0      1.00     yes
    2140.0         1.022e-02       3.6      1.13     yes
    1380.0         1.048e-02       2.7      1.05     yes
     820.0         1.057e-02       3.6      1.05     yes
    1960.0         1.062e-02       1.7      1.08     yes
     695.0         1.066e-02       1.9      1.00     yes
     595.0         1.070e-02       0.6      1.00     yes
    1295.0         1.073e-02       0.5      1.00     yes
    2340.0         1.073e-02       1.9      1.00     yes
     795.0         1.073e-02       0.7      1.00     yes
    2305.0         1.079e-02       1.0      1.00     yes
     320.0         1.082e-02       5.8      1.00     yes
    1080.0         1.084e-02       3.2      1.08     yes
    1780.0         1.086e-02       4.1      1.06     yes
    1720.0         1.087e-02       1.1      1.06     yes
    1495.0         1.087e-02       1.0      1.00     yes
     195.0         1.090e-02       3.6      1.00     yes
    1760.0         1.091e-02       1.7      1.13     yes
    1540.0         1.092e-02       2.8      1.01     yes
    1505.0         1.096e-02       1.3      1.00     yes
     140.0         1.096e-02       1.8      1.07     yes
    1360.0         1.100e-02       5.5      1.02     yes
    1640.0         1.100e-02       1.9      1.11     yes
    1840.0         1.106e-02       2.1      1.09     yes
    1020.0         1.107e-02       2.8      1.13     yes
     840.0         1.108e-02       1.1      1.14     yes
     560.0         1.113e-02       1.8      1.08     yes
     905.0         1.115e-02       0.4      1.00     yes
    1040.0         1.117e-02       2.8      1.05     yes
     260.0         1.119e-02       3.2      1.00     yes
     705.0         1.122e-02       0.9      1.00     yes
    1260.0         1.124e-02       1.6      1.03     yes
    2320.0         1.126e-02       2.0      1.09     yes
    1740.0         1.134e-02       4.1      1.00     yes
     105.0         1.141e-02       0.5      1.00     yes
     205.0         1.141e-02       1.7      1.00     yes
     740.0         1.142e-02       3.5      1.06     yes
     380.0         1.143e-02       6.4      1.00     NO*
     895.0         1.144e-02       2.7      1.00     yes
    2060.0         1.145e-02       5.0      1.02     yes
     780.0         1.147e-02       5.8      1.05     yes
    1570.0         1.155e-02       3.9      1.15     yes
    2420.0         1.158e-02       1.8      1.07     yes
    1660.0         1.160e-02       5.0      1.00     yes
    2360.0         1.163e-02       5.9      1.01     yes
    1995.0         1.164e-02       1.9      1.00     yes
     960.0         1.165e-02       4.5      1.00     yes
    1180.0         1.166e-02       1.4      1.03     yes
    2405.0         1.170e-02       1.7      1.00     yes
      95.0         1.172e-02       1.5      1.00     yes
    1420.0         1.173e-02       1.7      1.00     yes
    1405.0         1.173e-02       1.0      1.00     yes
    1685.0         1.176e-02       2.7      1.16     yes
    2220.0         1.178e-02       1.5      1.11     yes
    1395.0         1.188e-02       0.6      1.00     yes
    1140.0         1.194e-02       1.3      1.05     yes
    1305.0         1.194e-02       1.4      1.00     yes
    2195.0         1.196e-02       0.9      1.00     yes
     920.0         1.198e-02       8.1      1.16     NO*
    2180.0         1.203e-02       2.7      1.11     yes
    1620.0         1.205e-02       2.2      1.13     yes
    1280.0         1.215e-02      11.8      1.05     NO*
     680.0         1.222e-02       1.4      1.11     yes
    1880.0         1.224e-02       2.3      1.00     yes
    1480.0         1.229e-02       4.1      1.01     yes
    1195.0         1.231e-02       1.4      1.00     yes
     760.0         1.234e-02       1.1      1.10     yes
    2270.0         1.241e-02       3.4      1.19     yes
    1815.0         1.243e-02       4.8      1.05     yes
    1460.0         1.246e-02       2.5      1.08     yes
     285.0         1.254e-02       2.6      1.03     yes
     660.0         1.259e-02       3.4      1.04     yes
      80.0         1.266e-02       5.0      1.07     yes
    1160.0         1.272e-02       5.1      1.14     yes
     480.0         1.276e-02       2.7      1.02     yes
    1520.0         1.278e-02       1.1      1.03     yes
     170.0         1.279e-02       2.4      1.10     yes
     495.0         1.281e-02       0.9      1.00     yes
     340.0         1.281e-02       1.3      1.09     yes
    1925.0         1.282e-02       4.7      1.04     yes
    2095.0         1.284e-02       0.2      1.00     yes
     940.0         1.287e-02       8.5      1.02     NO*
     120.0         1.287e-02       2.9      1.22     yes
     240.0         1.289e-02       2.8      1.10     yes
      60.0         1.291e-02       3.2      1.01     yes
    1330.0         1.292e-02       3.9      1.38     yes
     720.0         1.297e-02       1.8      1.06     yes
    2485.0         1.301e-02       4.8      1.19     yes
    2240.0         1.302e-02       4.2      1.11     yes
    1225.0         1.307e-02       4.0      1.10     yes
     985.0         1.307e-02       5.7      1.12     yes
    2120.0         1.311e-02       1.9      1.15     yes
     530.0         1.312e-02       3.0      1.26     yes
     580.0         1.317e-02       7.4      1.13     NO*
    2385.0         1.320e-02       3.5      1.07     yes
     360.0         1.321e-02       1.6      1.06     yes
     805.0         1.336e-02       1.7      1.00     yes
    1095.0         1.339e-02       0.8      1.00     yes
    1980.0         1.363e-02       4.0      1.15     yes
    1705.0         1.365e-02       0.9      1.00     yes
    1060.0         1.369e-02       2.5      1.04     yes
     870.0         1.371e-02       2.0      1.05     yes
    1795.0         1.378e-02       1.1      1.00     yes
     505.0         1.390e-02       3.9      1.00     yes
    2030.0         1.392e-02       4.0      1.06     yes
    2460.0         1.420e-02       2.2      1.15     yes
     220.0         1.435e-02       1.6      1.21     yes
     630.0         1.436e-02       4.2      1.24     yes
      25.0         1.450e-02       1.1      1.00     yes
    1005.0         1.451e-02       1.0      1.00     yes
     605.0         1.463e-02       1.2      1.00     yes
     305.0         1.464e-02       2.0      1.00     yes
    1115.0         1.475e-02       3.2      1.32     yes
    1595.0         1.479e-02       5.4      1.00     yes
     395.0         1.480e-02       0.3      1.00     yes
    1895.0         1.518e-02       0.8      1.00     yes
    2440.0         1.534e-02       6.8      1.62     NO*
    2005.0         1.700e-02       1.6      1.00     yes
    1860.0         2.367e-02      17.8      3.11     NO*
  consensus floor = 1.178e-02 mV^2/Hz over 119 clean bands  ->  Var(n) = 0.0471 mV^2  (RMS 217.1 uV)
  carrier a = 248.064 mV  ->  SNR = 58.1 dB in the 4 Hz demod band
